q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_u,q14_r,q14_i,q14_rur,q14_m,q14_pnd,q15,q16,q17,q18,q19_a,q19_b,q20,q21
I consent,Female,African,.,R1000- R4999,2-3 times per week,2-3 times per month,4,80,2,High,The Eastern Cape,Grahamstown,.,true,.,.,.,.,,10,5,No,,,Yes,No
I consent,Female,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,2,200,10,Medium,The Eastern Cape,Port Elizabeth,.,true,.,.,.,.,,8,14,Yes,10,160,No,No
I consent,Male,African,30-39 years,R5000-R9999,2-3 times per month,2-3 times per month,10,2000,2000,Medium,The Eastern Cape,East London,.,.,.,.,true,.,,10,More than 30 days,No,,,I do not wish to disclose this information,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,Once per week,2,1500,50,Medium,The Eastern Cape,Grahamstown,true,.,.,.,.,.,,2,7,Yes,12.5,33.333332,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,Once per week,Once per month (or less),3,300,10,Medium,The Eastern Cape,Grahamstown,true,.,.,.,.,.,,10,21,No,,,No,Yes
I consent,Female,White,40-49 years,R25 000- R29 999,Everyday,Once per month (or less),2,4000,5.5,High,The Eastern Cape,Port Elizabeth,true,.,.,.,.,.,,10,30,Yes,400,1000,Yes,No
I consent,Female,African,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,7,100,4,Medium,The Eastern Cape,Grahamstown,.,.,.,.,true,.,,9,3,No,10,75,No,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,Everyday,10,100000,10000,High,The Eastern Cape,Port elizabeth,.,true,.,.,.,.,,10,More than 30 days,No,,,Yes,No
I consent,Female,White,20-29 years,R10 000- R14 999,Once per week,Once per month (or less),1,300,50,Medium,The Eastern Cape,Port Elizabeth,.,.,.,.,.,true,,1,30,Yes,,23.333334,No,No
I consent,Female,African,20-29 years,R15 000- R19 999,Everyday,2-3 times per week,7,120,10,Medium,The Eastern Cape,Port Elizabeth,.,true,.,.,.,.,,5,4,Yes,10,25,Yes,No
I consent,I would prefer not to answer,African,20-29 years,< R1000 (less than R1000),Once per month (or less),Once per month (or less),3,1000,10,High,The Eastern Cape,Grahamstown,.,.,.,.,.,true,,10,4,No,42.5,120,Yes,No
I consent,Male,.,20-29 years,R5000-R9999,Everyday,.,10,30,2,Medium,The Eastern Cape,Port Elizabeth,true,.,.,.,.,.,,8,1,Yes,10,30,I do not wish to disclose this information,No
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,3,400,8,Medium,The Eastern Cape,.,.,.,.,.,.,.,,2,20,Yes,23,150,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,4,100,8,Low,The Eastern Cape,Grahamstown,.,.,.,.,true,.,,9,3,Yes,10,25,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),6,1000,50,Medium,The Eastern Cape,Port Elizabeth,.,true,.,.,.,.,,8,More than 30 days,Yes,12,120,Yes,No
I consent,Female,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,2-3 times per month,3,200,10,High,The Eastern Cape,Grahamstown,true,.,.,.,.,.,,10,21,No,,,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,8,200,5,Medium,The Eastern Cape,Port Elizabeth,.,true,.,.,.,.,,7,7,Yes,33.333332,116,Yes,No
I consent,Female,Indian,20-29 years,R1000- R4999,Everyday,Once per week,3,100,10,Medium,The Eastern Cape,Grahamstown,.,true,.,.,.,.,,8,7,Yes,6,120,No,No
I consent,Male,African,20-29 years,< R1000 (less than R1000),2-3 times per month,2-3 times per month,8,50,25,Low,The Eastern Cape,Port Elizabeth,true,.,.,.,.,.,,8,7,,,,Yes,Yes
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per month,Once per month (or less),1,100,5,High,The Eastern Cape,Grahamstown,.,true,.,.,.,.,,9,More than 30 days,No,,,No,No
I consent,Male,White,30-39 years,R30 000 and above,Everyday,2-3 times per month,19,4000,150,High,The Eastern Cape,Port Elizabeth,.,true,.,.,.,.,,8,30,Yes,20,109.16666,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,Once per week,4,200,10,Medium,The Eastern Cape,Port Elizabeth,.,.,.,.,.,true,,10,2,No,,,.,Yes
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per week,Once per week,5,150,5,Low,The Eastern Cape,Grahamstown,true,.,.,.,.,.,,9,5,,28.571428,60,No,No
I consent,Female,White,20-29 years,R1000- R4999,Everyday,Once per week,4,500,5,High,The Eastern Cape,Grahamstown,.,.,.,.,true,.,,8,2,No,,,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,Once per week,1,80,3,Medium,The Eastern Cape,Grahamstown,.,true,.,.,.,.,,10,3,Yes,12.75,110,No,Yes
I consent,Male,African,20-29 years,R5000-R9999,Once per week,2-3 times per month,3,400,8,Medium,The Eastern Cape,Grahamstown,.,true,.,.,.,.,,2,16,No,,,No,No
I consent,Male,White,20-29 years,R1000- R4999,Once per week,2-3 times per month,6,250,5,Medium,The Eastern Cape,Grahamstown,.,.,.,.,true,.,,8,10,No,,,No,Yes
I consent,Male,White,30-39 years,R15 000- R19 999,Everyday,2-3 times per week,14,350,16,Medium,The Eastern Cape,Port Elizabeth,true,.,.,.,.,.,,10,5,Yes,,43.686871,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per week,7,300,6,Medium,The Eastern Cape,Grahamstown,.,.,.,.,.,true,,7,28,Yes,25,60,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),6,1750,1000,Medium,The Free State,It differs but Bloem,.,.,.,.,true,.,,9,More than 30 days,Yes,,80,I do not wish to disclose this information,No
I consent,Male,Coloured,20-29 years,R15 000- R19 999,2-3 times per month,2-3 times per month,14,200,2,High,The Free State,Bloemfontein,.,true,.,.,.,.,,10,2,Yes,20,137.5,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),2,1200,80,Medium,The Free State,Kroonstad,.,.,.,.,true,.,,7,More than 30 days,Yes,10,53.333332,No,No
I consent,Male,I would prefer to not answer,30-39 years,R20 000- R24 999,Everyday,Once per month (or less),15,1000,90,Medium,The Free State,Bloemfontein,.,.,.,.,.,true,,7,25,Yes,,135,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per week,Once per month (or less),3,300,10,Medium,The Free State,Bloemfontein,true,.,.,.,.,.,,6,30,Yes,13,75,No,No
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,3,100,5,Medium,The Free State,Bloemfontein,true,.,.,.,.,.,,9,15,No,,,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,8,1000,1000,Medium,The Free State,Bloemfontein,.,true,.,.,.,.,,8,30,No,,,No,No
I consent,Female,African,20-29 years,< R1000 (less than R1000),2-3 times per month,2-3 times per month,3,250,10,Medium,The Free State,Bloemfontein,true,.,.,.,.,.,,9,3,Yes,,100,Yes,No
I consent,Male,African,20-29 years,R5000-R9999,Everyday,Everyday,20,500,100,High,The Free State,Bloemfontein,true,.,.,.,.,.,,4,30,Yes,,50,Yes,No
I consent,Male,Coloured,20-29 years,R1000- R4999,2-3 times per week,Once per week,6,300,2,High,The Free State,Bloemfontein,.,true,.,.,.,.,,10,5,Yes,50,180,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,Once per month (or less),Once per month (or less),3,50,20,Low,The Free State,Harrismith,.,true,.,.,.,.,,9,3,No,,,No,No
I consent,Male,White,20-29 years,R30 000 and above,Everyday,Once per week,3,500,10,Medium,The Free State,Bloemfontein,.,true,.,.,.,.,,4,5,Yes,23,117.5,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,3,200,20,Medium,The Free State,Bloemfontein,.,true,.,.,.,.,,8,10,No,,,No,No
I consent,Male,Coloured,20-29 years,R30 000 and above,Everyday,2-3 times per week,3,50,10,Low,The Free State,Bloemfontein,true,.,.,.,.,.,,9,3,No,,27.375,Yes,No
I consent,Female,White,30-39 years,R15 000- R19 999,Everyday,Once per month (or less),2,1500,50,Medium,The Free State,Bloemfontein,.,.,.,.,true,.,,6,More than 30 days,Yes,10,65,Yes,No
I consent,Male,White,20-29 years,R20 000- R24 999,Everyday,2-3 times per week,10,150,5,Medium,The Free State,Bloemfontein,.,true,.,.,.,.,,9,2,No,,,No,No
I consent,Male,White,< 20 years (younger than 20 years),< R1000 (less than R1000),Everyday,2-3 times per week,3,60,4,Low,The Free State,Kroonstad,true,.,.,.,.,.,,10,2,Yes,,200,Yes,No
I consent,Female,White,20-29 years,R30 000 and above,Everyday,Once per month (or less),6,500,10,High,The Free State,Bloemfontein,.,true,.,.,.,.,,10,30,Yes,15,75,Yes,Yes
I consent,Female,African,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,3,50,3,Medium,The Free State,Bloemfontein,.,true,.,.,.,.,,10,3,No,,,Yes,No
I consent,Male,African,20-29 years,R10 000- R14 999,Everyday,Everyday,5,800,3,High,The Free State,Bloemfontein,true,.,.,.,.,.,,10,2,Yes,25,300,Yes,No
I consent,Male,African,< 20 years (younger than 20 years),< R1000 (less than R1000),Everyday,2-3 times per month,5,50,5,Medium,The Free State,Bloemfontein,.,true,.,.,.,.,,8,10,No,,,No,No
I consent,Male,White,< 20 years (younger than 20 years),< R1000 (less than R1000),Everyday,2-3 times per month,1,150,18,Low,The Free State,Rocklands,.,.,.,true,.,.,,8,20,No,,,Yes,No
I consent,Male,I would prefer to not answer,20-29 years,R5000-R9999,2-3 times per week,Once per month (or less),2,200,5,Medium,The Free State,Bethlehem,.,true,.,.,.,.,,7,30,No,,,No,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,2-3 times per month,5,500,500,Medium,The Free State,Bloemfontein,true,.,.,.,.,.,,6,30,No,,,Yes,No
I consent,Female,White,30-39 years,R10 000- R14 999,Once per month (or less),Once per month (or less),15,300,5,High,The Free State,Bloemfontein,.,true,.,.,.,.,,2,More than 30 days,No,,,Yes,No
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,2-3 times per month,20,500,5,High,The Free State,St Francis Bay,.,true,.,.,.,.,,7,10,Yes,,135,I do not wish to disclose this information,No
I consent,Male,White,30-39 years,R5000-R9999,Everyday,2-3 times per week,17,100,6,Medium,The Free State,Bloemfontein,.,true,.,.,.,.,,10,2,Yes,5,125,Yes,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,2-3 times per week,7,50,5,Medium,The Free State,Bloemfontein,true,.,.,.,.,.,,8,2,Yes,,34.444443,No,Yes
I consent,Male,White,50 years and above,R20 000- R24 999,Everyday,Once per month (or less),20,250,70,Medium,The Free State,.,true,.,.,.,.,.,,10,14,Yes,,,No,I do not wish to disclose this information
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Everyday,7,1000,100,Medium,The Free State,.,.,.,.,.,.,.,,5,.,,,,.,No
I consent,Male,African,30-39 years,< R1000 (less than R1000),2-3 times per week,2-3 times per week,7,50,1,High,The Free State,Virginia,.,true,.,.,.,.,,3,2,No,,,No,No
I consent,Female,White,20-29 years,R5000-R9999,2-3 times per week,Once per month (or less),1,400,10,Medium,The Free State,Bethlehem,.,.,.,.,true,.,,6,21,No,,,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per week,4,600,10,High,The Free State,Everywhere,.,.,.,.,true,.,,6,5,Yes,23.333334,125,Yes,No
I consent,Male,Coloured,20-29 years,R10 000- R14 999,2-3 times per week,Once per month (or less),12,1000,20,Medium,The Free State,Bloemfontein,.,.,.,.,true,.,,5,30,Yes,21,75,No,No
I consent,Male,African,20-29 years,R5000-R9999,Everyday,2-3 times per week,9,50,10,Low,The Free State,Bloemfantein,.,.,.,.,true,.,,8,5,No,,,Yes,No
I consent,Male,White,40-49 years,R15 000- R19 999,Once per month (or less),Once per month (or less),20,200,25,Low,The Free State,Bloemfontein,.,true,.,.,.,.,,1,14,,,30,.,.
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,2-3 times per month,18,3000,100,High,The Northern Cape,Kimberley,.,true,.,.,.,.,,6,25,Yes,16.666666,50,No,No
I consent,Male,White,40-49 years,R30 000 and above,Everyday,2-3 times per month,20,200,50,Medium,The Northern Cape,Port Nolloth,.,.,.,.,true,.,,10,8,Yes,2,85,No,No
I consent,Male,Coloured,20-29 years,R5000-R9999,Everyday,Everyday,11,100,5,Medium,The Northern Cape,Kenhardt,.,.,.,true,.,.,,5,1,No,,,Yes,No
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,Once per week,12,2000,50,High,The Northern Cape,N/A,.,.,.,.,true,.,,4,26,No,,,Yes,No
I consent,Male,African,40-49 years,R25 000- R29 999,Everyday,Once per month (or less),6,3000,3000,Medium,The Northern Cape,Upington,true,.,.,.,.,.,,5,More than 30 days,Yes,,4,Yes,No
I consent,Male,White,30-39 years,R25 000- R29 999,2-3 times per week,Once per month (or less),1,250,3,Medium,The Northern Cape,Upington,.,.,.,.,.,true,,1,More than 30 days,No,,,Yes,I do not wish to disclose this information
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,8,100,2,Medium,The Northern Cape,Mothibi stad,.,.,.,.,.,true,,7,1,Yes,25,75,I do not wish to disclose this information,No
I consent,Female,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,Once per week,2,300,20,Medium,The Northern Cape,Cape Town,.,true,.,.,.,.,,4,7,Yes,,120,Yes,Yes
I consent,Female,White,50 years and above,R30 000 and above,Everyday,Once per month (or less),6,800,10,High,The Northern Cape,.,.,.,.,.,.,.,,10,3,No,,,Yes,No
I consent,Male,White,20-29 years,R20 000- R24 999,Everyday,Once per month (or less),5,750,15,Medium,The Northern Cape,Colesberg,.,.,.,true,.,.,,10,More than 30 days,No,,,Yes,No
I consent,Female,Coloured,< 20 years (younger than 20 years),< R1000 (less than R1000),2-3 times per week,2-3 times per week,2,250,2,High,The Northern Cape,Kimberley,true,.,.,.,.,.,,9,1,Yes,100,150,No,No
I consent,Female,White,30-39 years,R15 000- R19 999,Everyday,Once per week,10,200,4,High,The Northern Cape,KImberley,.,true,.,.,.,.,,8,7,Yes,35,120,No,No
I consent,Female,White,30-39 years,R25 000- R29 999,Once per month (or less),I do not wish to disclose this information,12,400,2,High,The Northern Cape,.,.,true,.,.,.,.,,1,More than 30 days,Yes,125,275,Yes,No
I consent,Male,White,30-39 years,R30 000 and above,2-3 times per week,Once per month (or less),15,300,2,High,The Western Cape,Cape Town,.,true,.,.,.,.,,6,More than 30 days,Yes,100,180,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per week,3,300,2,High,The Western Cape,Cape Town,true,.,.,.,.,.,,7,3,Yes,85,190,No,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,7,400,50,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,6,7,Yes,,90,No,No
I consent,Male,Coloured,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,15,50,3,Medium,The Western Cape,Cape town,.,true,.,.,.,.,,10,1,Yes,12.5,112.5,No,No
I consent,Male,White,30-39 years,R30 000 and above,Everyday,Once per month (or less),20,600,4,High,The Western Cape,Cape Town,true,.,.,.,.,.,,5,14,Yes,80,200,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),7,150,5,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,8,21,No,,,No,Yes
I consent,Female,Coloured,20-29 years,R5000-R9999,Once per week,Once per week,3,400,50,High,The Western Cape,Cape town,.,true,.,.,.,.,,9,20,,,70,Yes,No
I consent,Male,White,50 years and above,R15 000- R19 999,Everyday,Once per week,20,500,25,Medium,The Western Cape,CT,.,true,.,.,.,.,,10,7,No,,,Yes,No
I consent,Male,White,20-29 years,R30 000 and above,Everyday,Once per week,11,120,7,Medium,The Western Cape,Stellenbosch,.,true,.,.,.,.,,9,7,Yes,11.375,150,No,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,2,600,50,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,3,30,No,,,Yes,No
I consent,Female,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,2-3 times per week,7,150,10,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,8,2,Yes,10,84.375,No,No
I consent,Male,White,30-39 years,R15 000- R19 999,2-3 times per week,2-3 times per month,4,400,200,Medium,The Western Cape,George,.,.,.,true,.,.,,9,15,No,,,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per month (or less),4,3000,25,High,The Western Cape,Cape Town,true,.,.,.,.,.,,5,30,No,,,Yes,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,6,450,3,High,The Western Cape,Cape Town,.,true,.,.,.,.,,10,14,Yes,21.785715,200,Yes,No
I consent,Male,White,50 years and above,R30 000 and above,Everyday,2-3 times per month,13,4000,50,High,The Western Cape,Somerset West,.,.,.,.,true,.,,5,14,Yes,47,160,Yes,Yes
I consent,Male,White,30-39 years,R30 000 and above,Everyday,Once per week,20,1000,7,High,The Western Cape,Cape Town,.,true,.,.,.,.,,7,10,Yes,45,175,I do not wish to disclose this information,I do not wish to disclose this information
I consent,Male,White,40-49 years,R10 000- R14 999,Everyday,2-3 times per week,20,30,2,Medium,The Western Cape,Bellville,true,.,.,.,.,.,,5,4,No,,,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,4,100,8,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,8,3,No,,,No,Yes
I consent,Male,White,30-39 years,R10 000- R14 999,2-3 times per week,Once per month (or less),19,150,10,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,4,More than 30 days,Yes,10,60,No,No
I consent,Male,White,20-29 years,R1000- R4999,Once per month (or less),Once per month (or less),5,450,3,High,The Western Cape,Sea Point,true,.,.,.,.,.,,10,30,Yes,76.666664,176.66667,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,7,150,8,Medium,The Western Cape,.,.,true,.,.,.,.,,5,7,Yes,,,No,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,Everyday,9,300,10,High,The Western Cape,Cape Town,true,.,.,.,.,.,,10,7,Yes,10,136.66667,No,No
I consent,Male,Coloured,20-29 years,R10 000- R14 999,2-3 times per week,Once per week,6,150,10,Medium,The Western Cape,Cape Town,.,.,.,.,true,.,,8,7,Yes,,180,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per week,7,100,7,Medium,The Western Cape,Hout bay,.,.,.,true,.,.,,10,7,Yes,8,25,Yes,I do not wish to disclose this information
I consent,Female,White,30-39 years,R5000-R9999,Everyday,2-3 times per month,5,300,40,High,The Western Cape,Cape town,.,true,.,.,.,.,,8,6,Yes,5,150,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,6,100,10,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,10,2,Yes,5,150,No,No
I consent,Female,Other,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,7,100,10,Medium,The Western Cape,Cape town,.,true,.,.,.,.,,8,15,Yes,,80,Yes,I do not wish to disclose this information
I consent,Male,Coloured,20-29 years,R1000- R4999,Everyday,2-3 times per month,7,1500,100,High,The Western Cape,Stellenbosch,.,.,.,.,true,.,,7,30,Yes,10,80,I do not wish to disclose this information,No
I consent,Male,White,40-49 years,R30 000 and above,Everyday,Once per month (or less),20,500,10,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,10,30,Yes,30,130,No,No
I consent,Male,Indian,40-49 years,R30 000 and above,Everyday,Once per month (or less),20,100,5,Medium,The Western Cape,Cape town,.,.,.,.,true,.,,5,14,No,,,No,No
I consent,Female,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,5,400,5,High,The Western Cape,Cape Town,true,.,.,.,.,.,,9,7,No,,,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per week,5,100,8,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,8,7,Yes,10,150,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,4,200,20,Medium,The Western Cape,Stellenbosch,.,true,.,.,.,.,,10,6,No,,,Yes,No
I consent,Male,White,40-49 years,R1000- R4999,2-3 times per week,Once per month (or less),3,100,4,Medium,The Western Cape,Cape Town,.,.,.,.,.,true,,3,More than 30 days,No,,,No,No
I consent,Male,Coloured,20-29 years,R1000- R4999,Everyday,Everyday,7,500,60,Medium,The Western Cape,Paarl,.,true,.,.,.,.,,10,More than 30 days,Yes,4,50,No,No
I consent,Male,White,20-29 years,R20 000- R24 999,Everyday,Once per week,7,200,5,Medium,The Western Cape,Stellenbosch,.,true,.,.,.,.,,10,7,Yes,10,140,Yes,Yes
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,2-3 times per month,3,300,20,Medium,The Western Cape,Stellenbosch,.,true,.,.,.,.,,10,20,Yes,,200,No,No
I consent,Female,Coloured,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,7,180,10,High,The Western Cape,Paarl,.,true,.,.,.,.,,10,3,Yes,,120,Yes,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),11,130,10,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,10,14,No,,,No,No
I consent,Male,Coloured,20-29 years,R5000-R9999,I do not wish to disclose this information,I do not wish to disclose this information,6,25,10,Low,The Western Cape,Cape Town,.,true,.,.,.,.,,10,14,Yes,,81.25,Yes,Yes
I consent,Male,Coloured,20-29 years,R5000-R9999,Once per month (or less),Once per month (or less),8,1000,15,High,The Western Cape,George,.,true,.,.,.,.,,8,More than 30 days,Yes,32.5,90,No,No
I consent,Male,White,30-39 years,R1000- R4999,Everyday,2-3 times per month,7,1000,150,Low,The Western Cape,MosselbayGeorge,.,.,true,.,.,.,,2,30,Yes,,75,Yes,I do not wish to disclose this information
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,4,450,40,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,6,30,Yes,,157.5,Yes,No
I consent,Male,Coloured,20-29 years,R1000- R4999,Everyday,2-3 times per week,8,20,3,Low,The Western Cape,Cape town,.,true,.,.,.,.,,8,1,Yes,5,125,Yes,No
I consent,Male,I would prefer to not answer,40-49 years,R10 000- R14 999,Everyday,2-3 times per month,20,300,40,Medium,The Western Cape,Knysna,.,.,.,true,.,.,,9,7,Yes,6,85,No,No
I consent,Female,Coloured,20-29 years,< R1000 (less than R1000),2-3 times per week,2-3 times per month,4,125,10,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,7,20,Yes,,75,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),7,1000,10,High,The Western Cape,Cape Town,.,true,.,.,.,.,,10,30,Yes,65,135,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Once per month (or less),Once per month (or less),15,200,2,High,The Western Cape,Claremont,.,true,.,.,.,.,,8,More than 30 days,Yes,25,180,No,Yes
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,3,150,8,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,9,10,Yes,10,150,Yes,Yes
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,6,750,5,High,The Western Cape,Cape town,true,.,.,.,.,.,,8,25,No,,,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,2-3 times per week,Once per week,3,100,8.5,Medium,The Western Cape,Hermanus,.,true,.,.,.,.,,10,7,No,,,Yes,No
I consent,Male,I would prefer to not answer,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,6,2240,13,High,The Western Cape,Athlone,.,true,.,.,.,.,,10,10,Yes,150,180,Yes,No
I consent,Male,White,40-49 years,R30 000 and above,Everyday,Once per week,19,2000,10,High,The Western Cape,Cape Town,.,.,.,.,true,.,,10,7,Yes,123.33334,220,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per week,6,100,10,Medium,The Western Cape,Stellenbosch,true,.,.,.,.,.,,10,2,Yes,5,150,Yes,No
I consent,Male,Coloured,20-29 years,R1000- R4999,Everyday,2-3 times per week,10,30,1,Medium,The Western Cape,Ceres wc,.,.,.,.,true,.,,8,3,Yes,15,123.33334,Yes,No
I consent,Female,White,20-29 years,< R1000 (less than R1000),2-3 times per week,Once per month (or less),7,360,3,High,The Western Cape,Somerset West or Ron,.,true,.,.,.,.,,7,14,Yes,,145,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,6,100,8,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,10,3,Yes,11,110,No,Yes
I consent,Male,Coloured,30-39 years,R1000- R4999,Everyday,Everyday,16,50,1,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,1,1,Yes,19.642857,200,Yes,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,9,50,80,Low,The Western Cape,Cape Town,.,true,.,.,.,.,,7,25,Yes,,120,No,No
I consent,Female,White,30-39 years,R5000-R9999,Everyday,Once per week,6,675,4,High,The Western Cape,Cape town,.,true,.,.,.,.,,10,5,No,,,No,I do not wish to disclose this information
I consent,Male,White,40-49 years,R20 000- R24 999,Everyday,2-3 times per month,13,800,8,High,The Western Cape,Cape town,.,true,.,.,.,.,,10,21,No,,,No,.
I consent,Female,Indian,20-29 years,R5000-R9999,Everyday,Once per week,7,800,12,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,10,30,Yes,10,150,Yes,No
I consent,Female,White,30-39 years,R5000-R9999,Everyday,2-3 times per month,20,200,50,Medium,The Western Cape,George,.,.,.,.,true,.,,9,14,No,,,No,No
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,Once per week,11,1200,10,High,The Western Cape,Cape Town,.,true,.,.,.,.,,9,7,Yes,11.25,150,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,5,250,10,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,10,30,Yes,12.5,150,Yes,Yes
I consent,Male,Coloured,20-29 years,R5000-R9999,Everyday,2-3 times per week,8,105,10,Medium,The Western Cape,Cape Town,.,.,.,.,true,.,,9,3,Yes,,100,No,No
I consent,Male,Indian,20-29 years,R1000- R4999,Everyday,2-3 times per week,7,50,4,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,9,3,No,,,Yes,No
I consent,Female,Coloured,30-39 years,R15 000- R19 999,Everyday,Once per month (or less),16,600,700,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,8,30,Yes,,96.666664,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,6,450,3,High,The Western Cape,Cape Town,.,true,.,.,.,.,,8,2,No,,,Yes,No
I consent,Male,White,50 years and above,R20 000- R24 999,Everyday,2-3 times per month,20,500,25,Medium,The Western Cape,CT,.,true,.,.,.,.,,10,10,No,,,No,No
I consent,Male,Coloured,20-29 years,R10 000- R14 999,Once per month (or less),I do not wish to disclose this information,6,30,1,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,8,1,Yes,20,78.333336,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,4,300,2,High,The Western Cape,Stellenbosch,.,.,.,.,.,true,,7,4,Yes,38.333332,170,I do not wish to disclose this information,I do not wish to disclose this information
I consent,Male,.,20-29 years,R10 000- R14 999,Everyday,Once per week,8,3000,100,High,The Western Cape,Cape Town,true,.,.,.,.,.,,7,20,Yes,15,150,No,No
